nohup: ignoring input
 * Serving Flask app 'app'
 * Debug mode: on
[31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:4500
[33mPress CTRL+C to quit[0m
 * Restarting with stat
 * Debugger is active!
 * Debugger PIN: 131-963-163
127.0.0.1 - - [27/Aug/2025 05:35:19] "[33mGET /robots.txt HTTP/1.1[0m" 404 -
127.0.0.1 - - [27/Aug/2025 05:35:20] "[32mGET / HTTP/1.1[0m" 302 -
127.0.0.1 - - [27/Aug/2025 05:35:23] "GET /login HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2025 05:35:25] "[32mGET / HTTP/1.1[0m" 302 -
127.0.0.1 - - [27/Aug/2025 05:35:26] "GET /login HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2025 05:35:26] "GET /assets/packages/package-fomantic-ui/semantic/dist/semantic.min.js HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2025 05:35:27] "[32mGET / HTTP/1.1[0m" 302 -
127.0.0.1 - - [27/Aug/2025 05:35:28] "GET /login HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2025 05:35:28] "GET /assets/packages/package-fomantic-ui/semantic/dist/semantic.min.css HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2025 05:35:28] "GET /assets/packages/package-fomantic-ui/semantic/dist/semantic.min.js HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2025 05:35:28] "GET /assets/packages/package-jquery/node_modules/jquery/dist/jquery.min.js HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2025 05:35:30] "GET /assets/packages/package-fomantic-ui/semantic/dist/themes/default/assets/fonts/icons.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2025 05:35:30] "GET /assets/packages/package-fomantic-ui/semantic/dist/themes/default/assets/fonts/LatoLatin-Bold.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2025 05:35:30] "GET /assets/packages/package-fomantic-ui/semantic/dist/themes/default/assets/fonts/LatoLatin-Regular.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2025 10:47:59] "[32mGET / HTTP/1.1[0m" 302 -
127.0.0.1 - - [27/Aug/2025 10:47:59] "GET /login HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2025 10:48:01] "[32mGET / HTTP/1.1[0m" 302 -
127.0.0.1 - - [27/Aug/2025 10:48:01] "GET /login HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2025 10:48:02] "GET /assets/packages/package-fomantic-ui/semantic/dist/semantic.min.js HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2025 10:49:54] "[32mGET / HTTP/1.1[0m" 302 -
127.0.0.1 - - [27/Aug/2025 10:49:54] "GET /login HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2025 10:49:55] "GET /assets/packages/package-fomantic-ui/semantic/dist/semantic.min.js HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2025 10:49:55] "GET /assets/packages/package-fomantic-ui/semantic/dist/semantic.min.css HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2025 10:49:55] "GET /assets/packages/package-jquery/node_modules/jquery/dist/jquery.min.js HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2025 10:49:59] "GET /assets/packages/package-fomantic-ui/semantic/dist/themes/default/assets/fonts/LatoLatin-Regular.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2025 10:49:59] "GET /assets/packages/package-fomantic-ui/semantic/dist/themes/default/assets/fonts/icons.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2025 10:49:59] "GET /assets/packages/package-fomantic-ui/semantic/dist/themes/default/assets/fonts/LatoLatin-Bold.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2025 10:50:00] "GET /assets/packages/package-fomantic-ui/semantic/dist/themes/default/assets/fonts/LatoLatin-Bold.woff HTTP/1.1" 200 -
